adduct,mz,rt,name
M+H,126.0315,0.67,(2-AMINOETHYL)PHOSPHONATE
M+H-NH3,109.0049,0.67,(2-AMINOETHYL)PHOSPHONATE-NH3
M+Na,148.0134,0.67,(2-AMINOETHYL)PHOSPHONATE+Na
M+H,102.055,0.73,1-AMINOCYCLOPROPANE-1-CARBOXYLATE
M+Na,124.0369,0.73,1-AMINOCYCLOPROPANE-1-CARBOXYLATE+Na
M+Na,189.05615,6.96,1-HEXANESULFONIC ACID+Na
M+H,180.1019,4.37,"1-METHYL-6,7-DIHYDROXY-1,2,3,4-TETRAHYDROISOQUINOLINE"
M+H-NH3,163.0754,4.37,"1-METHYL-6,7-DIHYDROXY-1,2,3,4-TETRAHYDROISOQUINOLINE-NH3"
M+H,282.1197,5.61,1-METHYLADENOSINE
M+K,320.0756,5.61,1-METHYLADENOSINE+K
M+Na,304.1016,5.61,1-METHYLADENOSINE+Na
M,137.0709,0.82,1-METHYLNICOTINAMIDE
M+H,144.0808,7.93,1-NAPHTHYLAMINE
M+H-FA,311.2945,21.64,1-OLEOYL-RAC-GLYCEROL
M+Na,145.0624,6.26,1-PHENYLETHANOL+Na
M+H,152.0164,8.47,"1,2-Benzisothiazolin-3-one"
M+H,208.13281,7.47,"1,3-Benzodioxolyl-N-methylbutanamine (MBDB)"
M+H,75.0917,0.59,"1,3-DIAMINOPROPANE"
M+H,113.0597,4.13,"1,4-CYCLOHEXANEDIONE"
M+H,189.1485,8.47,10-HYDROXYDECANOATE
M+H-H2O,171.138,8.47,10-HYDROXYDECANOATE-H2O
M+H,407.2792,9.38,12-KETOCHENODEOXYCHOLIC ACID
M+H-H2O,389.2686,9.38,12-KETOCHENODEOXYCHOLIC ACID-H2O
M+Na,429.2611,9.38,12-KETOCHENODEOXYCHOLIC ACID+Na
M+H-H2O,203.1026,0.73,2-ACETAMIDO-2-DEOXY-BETA-D-GLUCOSYLAMINE-H2O
M+H-NH3,204.0866,0.73,2-ACETAMIDO-2-DEOXY-BETA-D-GLUCOSYLAMINE-NH3
M+H,104.0706,0.77,2-AMINO-2-METHYLPROPANOATE
M+Na,126.0525,0.77,2-AMINO-2-METHYLPROPANOATE+Na
M+H,134.07114,6.03,2-AMINOBENZIMIDAZOLE
M+H,142.0264,0.67,2-AMINOETHYL DIHYDROGEN PHOSPHATE
M+Na,164.0083,0.67,2-AMINOETHYL DIHYDROGEN PHOSPHATE+Na
M+H,139.04962,0.92,2-AMINONICOTINIC ACID
M+H,110.06,1.71,2-AMINOPHENOL
M+H-H2O,92.0495,1.71,2-AMINOPHENOL-H2O
M+K,203.0316,0.75,2-DEOXY-D-GLUCOSE
M+Na,187.0577,0.75,2-DEOXY-D-GLUCOSE+Na
M+H,170.04478,5.53,2-FUROYLGLYCINE
M+H,151.0423,5.59,2-HYDROXY-4-(METHYLTHIO)BUTYRIC ACID
M+H-FA,105.0369,5.59,2-HYDROXY-4-(METHYLTHIO)BUTYRIC ACID-FA
M+H,149.045,1.39,2-HYDROXYGLUTARATE
2+charge?,168.0178,1.39,2-HYDROXYGLUTARATE adduct
M+Na,171.0269,1.39,2-HYDROXYGLUTARATE+Na
M+H-H2O,131.0344,1.39,2-HYDROXYGLUTARATE+water
M+H,153.0546,7.15,2-HYDROXYPHENYLACETIC ACID
M+H-H2O,135.0441,7.15,2-HYDROXYPHENYLACETIC ACID-water
M+H,96.0444,3,2-HYDROXYPYRIDINE
M+Na,118.0263,3,2-HYDROXYPYRIDINE+Na
M+H-FA,73.0648,8.86,2-METHYLBUTANAL
M+H,246.17,6.65,2-METHYLBUTRYOYLCARNITINE
M+Na,268.1519,6.65,2-METHYLBUTRYOYLCARNITINE+Na
M+H,147.0652,6.32,2-METHYLGLUTARIC ACID
M+H-H2O,129.0546,6.32,2-METHYLGLUTARIC ACID-H2O
M+Na,169.0471,6.32,2-METHYLGLUTARIC ACID+Na
M+H,131.0339,5.1,2-METHYLMALEATE
M+H,131.0339,3.47,2-METHYLMALEATE
M+H-H2O,113.0233,5.1,2-METHYLMALEATE-H2O
M+H-H2O,113.0233,3.47,2-METHYLMALEATE-H2O
M+Na,153.0158,5.1,2-METHYLMALEATE+Na
M+Na,153.0158,3.47,2-METHYLMALEATE+Na
M+H,152.07045,6.44,2-PHENYLGLYCINE
M+H,174.055,6.3,2-QUINOLINECARBOXYLIC ACID
M+H-H2O,73.0648,8.85,"2,3-BUTANEDIOL-H2O"
,157.0469,1.4,"2,3-dihydroxyisovalerate"
M+H,153.0546,8.5,"2,4-DIHYDROXYACETOPHENONE"
M+H,165.0407,3.52,"2,4-DIHYDROXYPTERIDINE"
M+Na,187.0226,3.52,"2,4-DIHYDROXYPTERIDINE+Na"
M+H,157.0244,2.28,"2,4-DIHYDROXYPYRIMIDINE-5-CARBOXYLIC ACID"
M+H-H2O,139.0138,2.28,"2,4-DIHYDROXYPYRIMIDINE-5-CARBOXYLIC ACID-H2O"
M+Na,179.0063,2.28,"2,4-DIHYDROXYPYRIMIDINE-5-CARBOXYLIC ACID+Na"
M+H,155.0339,6.76,"2,5-DIHYDROXYBENZOATE"
M+H,109.076,0.7,"2,5-DIMETHYLPYRAZINE"
M+H,302.2325,9.09,"2,6-DIMETHYLHEPTANOYL CARNITINE"
M+H,252.1091,5.18,2'-DEOXYADENOSINE
M+K,290.065,5.18,2'-DEOXYADENOSINE+K
M+Na,274.0911,5.18,2'-DEOXYADENOSINE+Na
M+H,308.0642,1.31,2'-DEOXYCYTIDINE 5'-MONOPHOSPHATE
M+H-H2O,290.0536,1.31,2'-DEOXYCYTIDINE 5'-MONOPHOSPHATE-H2O
M+Na,330.0462,1.31,2'-DEOXYCYTIDINE 5'-MONOPHOSPHATE+Na
M+H,268.104,5.39,2'-DEOXYGUANOSINE
M+H,268.104,5,2'-DEOXYGUANOSINE
M+H,348.0704,3.32,2'-DEOXYGUANOSINE 5'-MONOPHOSPHATE
M+K,306.0599,5.39,2'-DEOXYGUANOSINE+K
M+K,306.0599,5,2'-DEOXYGUANOSINE+K
M+Na,290.086,5.39,2'-DEOXYGUANOSINE+Na
M+Na,290.086,5,2'-DEOXYGUANOSINE+Na
M+H,309.0482,1.96,2'-DEOXYURIDINE 5'-MONO-PHOS-PHATE
M+H-H2O,385.3465,32.39,24-HYDROCHOLESTEROL-H2O
M+H,167.0703,7.88,3-(2-HYDROXYPHENYL)PROPANOATE
M+H-H2O,149.0597,7.88,3-(2-HYDROXYPHENYL)PROPANOATE-H2O
M+H-H2O,163.039,6.29,3-(4-HYDROXYPHENYL)PYRUVATE-H2O
M+H,167.0703,5.25,3-(HYDROXYPHENYL) PROPIONATE
M+H-H2O,349.2373,8.59,"3-ALPHA,11-BETA,17-ALPHA,21-TETRAHYDROXY- 5-ALPHA-PREGNAN-20-ONE-H2O"
M+H-H2O,349.2373,8.11,"3-ALPHA,11-BETA,17-ALPHA,21-TETRAHYDROXY- 5-ALPHA-PREGNAN-20-ONE-H2O"
M+H,154.0499,1.57,3-AMINO-4-HYDROXYBENZOIC ACID
M+H,154.0499,1.87,3-AMINO-5-HYDROXYBENZOIC ACID
M+H,104.0706,0.83,3-AMINOISOBUTANOATE
M+H-H2O,86.06,0.83,3-AMINOISOBUTANOATE-H2O
